"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
DEBORAH HEART AND LUNG CENTER,310031,NJ,READM-30-AMI-HRRP,263,,0.9827,14.7969,15.0581,38,07/01/2018,06/30/2021
INSPIRA MEDICAL CENTER VINELAND,310032,NJ,READM-30-PN-HRRP,557,,1.0790,18.1841,16.8528,107,07/01/2018,06/30/2021
INSPIRA MEDICAL CENTER VINELAND,310032,NJ,READM-30-HIP-KNEE-HRRP,N/A,,0.8851,4.3523,4.9174,Too Few to Report,07/01/2018,06/30/2021
INSPIRA MEDICAL CENTER VINELAND,310032,NJ,READM-30-HF-HRRP,703,,1.0982,23.4279,21.3335,171,07/01/2018,06/30/2021
INSPIRA MEDICAL CENTER VINELAND,310032,NJ,READM-30-COPD-HRRP,360,,1.1365,23.2112,20.4233,94,07/01/2018,06/30/2021
INSPIRA MEDICAL CENTER VINELAND,310032,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
INSPIRA MEDICAL CENTER VINELAND,310032,NJ,READM-30-AMI-HRRP,159,,1.0777,17.5660,16.2993,32,07/01/2018,06/30/2021
RIVERVIEW MEDICAL CENTER,310034,NJ,READM-30-PN-HRRP,381,,1.0787,18.7042,17.3395,77,07/01/2018,06/30/2021
RIVERVIEW MEDICAL CENTER,310034,NJ,READM-30-HIP-KNEE-HRRP,620,,1.0988,4.4176,4.0205,29,07/01/2018,06/30/2021
RIVERVIEW MEDICAL CENTER,310034,NJ,READM-30-HF-HRRP,415,,1.0283,22.4421,21.8239,95,07/01/2018,06/30/2021
RIVERVIEW MEDICAL CENTER,310034,NJ,READM-30-COPD-HRRP,202,,0.9900,19.2013,19.3950,38,07/01/2018,06/30/2021
RIVERVIEW MEDICAL CENTER,310034,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
RIVERVIEW MEDICAL CENTER,310034,NJ,READM-30-AMI-HRRP,150,,0.9668,14.5276,15.0264,20,07/01/2018,06/30/2021
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,310038,NJ,READM-30-PN-HRRP,543,,1.0774,18.3057,16.9906,105,07/01/2018,06/30/2021
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,310038,NJ,READM-30-HIP-KNEE-HRRP,N/A,,1.0628,4.9979,4.7027,Too Few to Report,07/01/2018,06/30/2021
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,310038,NJ,READM-30-HF-HRRP,922,,0.9610,20.2395,21.0618,184,07/01/2018,06/30/2021
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,310038,NJ,READM-30-COPD-HRRP,183,,0.9863,19.1718,19.4389,34,07/01/2018,06/30/2021
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,310038,NJ,READM-30-CABG-HRRP,352,,1.2082,14.6733,12.1446,56,07/01/2018,06/30/2021
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,310038,NJ,READM-30-AMI-HRRP,454,,1.1491,17.7262,15.4262,88,07/01/2018,06/30/2021
RARITAN BAY MEDICAL CENTER,310039,NJ,READM-30-PN-HRRP,422,,1.0118,18.2723,18.0599,78,07/01/2018,06/30/2021
RARITAN BAY MEDICAL CENTER,310039,NJ,READM-30-HIP-KNEE-HRRP,N/A,,1.0836,5.2326,4.8287,Too Few to Report,07/01/2018,06/30/2021
RARITAN BAY MEDICAL CENTER,310039,NJ,READM-30-HF-HRRP,501,,1.0672,22.6836,21.2552,118,07/01/2018,06/30/2021
RARITAN BAY MEDICAL CENTER,310039,NJ,READM-30-COPD-HRRP,225,,1.1238,20.7823,18.4934,56,07/01/2018,06/30/2021
RARITAN BAY MEDICAL CENTER,310039,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
RARITAN BAY MEDICAL CENTER,310039,NJ,READM-30-AMI-HRRP,115,,1.0316,16.7930,16.2793,21,07/01/2018,06/30/2021
CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,310040,NJ,READM-30-PN-HRRP,77,,1.0013,18.0561,18.0334,14,07/01/2018,06/30/2021
CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,310040,NJ,READM-30-HIP-KNEE-HRRP,N/A,,1.0581,4.1965,3.9662,Too Few to Report,07/01/2018,06/30/2021
CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,310040,NJ,READM-30-HF-HRRP,70,,1.1473,23.9104,20.8413,26,07/01/2018,06/30/2021
CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,310040,NJ,READM-30-COPD-HRRP,75,,1.0369,17.6651,17.0371,16,07/01/2018,06/30/2021
CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,310040,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CAREPOINT HEALTH-HOBOKEN UNIVERSITY MEDICAL CENTER,310040,NJ,READM-30-AMI-HRRP,31,,1.0682,23.1022,21.6267,11,07/01/2018,06/30/2021
COMMUNITY MEDICAL CENTER,310041,NJ,READM-30-PN-HRRP,1024,,1.0811,18.1781,16.8138,192,07/01/2018,06/30/2021
COMMUNITY MEDICAL CENTER,310041,NJ,READM-30-HIP-KNEE-HRRP,294,,1.0377,4.8848,4.7071,15,07/01/2018,06/30/2021
COMMUNITY MEDICAL CENTER,310041,NJ,READM-30-HF-HRRP,1065,,1.1111,22.3498,20.1144,245,07/01/2018,06/30/2021
COMMUNITY MEDICAL CENTER,310041,NJ,READM-30-COPD-HRRP,632,,1.0762,20.2917,18.8551,134,07/01/2018,06/30/2021
COMMUNITY MEDICAL CENTER,310041,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
COMMUNITY MEDICAL CENTER,310041,NJ,READM-30-AMI-HRRP,401,,1.1739,17.5479,14.9489,79,07/01/2018,06/30/2021
CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,310044,NJ,READM-30-PN-HRRP,228,,0.9642,14.7526,15.2998,31,07/01/2018,06/30/2021
CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,310044,NJ,READM-30-HIP-KNEE-HRRP,N/A,,1.1179,5.7590,5.1514,Too Few to Report,07/01/2018,06/30/2021
CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,310044,NJ,READM-30-HF-HRRP,309,,1.0579,21.1384,19.9810,69,07/01/2018,06/30/2021
CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,310044,NJ,READM-30-COPD-HRRP,69,,1.0196,22.3446,21.9153,17,07/01/2018,06/30/2021
CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,310044,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,310044,NJ,READM-30-AMI-HRRP,N/A,,0.9510,15.2331,16.0184,Too Few to Report,07/01/2018,06/30/2021
ENGLEWOOD HOSPITAL AND MEDICAL CENTER,310045,NJ,READM-30-PN-HRRP,564,,1.0313,15.3808,14.9144,89,07/01/2018,06/30/2021
ENGLEWOOD HOSPITAL AND MEDICAL CENTER,310045,NJ,READM-30-HIP-KNEE-HRRP,332,,1.2831,5.6314,4.3889,23,07/01/2018,06/30/2021
ENGLEWOOD HOSPITAL AND MEDICAL CENTER,310045,NJ,READM-30-HF-HRRP,539,,1.0909,20.8433,19.1062,118,07/01/2018,06/30/2021
ENGLEWOOD HOSPITAL AND MEDICAL CENTER,310045,NJ,READM-30-COPD-HRRP,169,,0.9975,17.8666,17.9118,30,07/01/2018,06/30/2021
ENGLEWOOD HOSPITAL AND MEDICAL CENTER,310045,NJ,READM-30-CABG-HRRP,112,,0.9602,10.6301,11.0706,11,07/01/2018,06/30/2021
ENGLEWOOD HOSPITAL AND MEDICAL CENTER,310045,NJ,READM-30-AMI-HRRP,263,,1.0919,15.7219,14.3992,46,07/01/2018,06/30/2021
SHORE MEDICAL CENTER,310047,NJ,READM-30-PN-HRRP,333,,1.1179,17.9250,16.0341,68,07/01/2018,06/30/2021
SHORE MEDICAL CENTER,310047,NJ,READM-30-HIP-KNEE-HRRP,N/A,,0.9979,3.8159,3.8240,Too Few to Report,07/01/2018,06/30/2021
SHORE MEDICAL CENTER,310047,NJ,READM-30-HF-HRRP,423,,1.0341,20.0551,19.3935,87,07/01/2018,06/30/2021
SHORE MEDICAL CENTER,310047,NJ,READM-30-COPD-HRRP,172,,1.0084,19.9618,19.7955,35,07/01/2018,06/30/2021
SHORE MEDICAL CENTER,310047,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
SHORE MEDICAL CENTER,310047,NJ,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL - SOMERSET,310048,NJ,READM-30-PN-HRRP,567,,1.0386,16.6157,15.9980,97,07/01/2018,06/30/2021
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL - SOMERSET,310048,NJ,READM-30-HIP-KNEE-HRRP,260,,1.1047,4.7274,4.2793,14,07/01/2018,06/30/2021
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL - SOMERSET,310048,NJ,READM-30-HF-HRRP,694,,0.9900,20.1229,20.3252,139,07/01/2018,06/30/2021
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL - SOMERSET,310048,NJ,READM-30-COPD-HRRP,216,,1.1127,19.3132,17.3565,50,07/01/2018,06/30/2021
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL - SOMERSET,310048,NJ,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL - SOMERSET,310048,NJ,READM-30-AMI-HRRP,141,,0.9097,13.4327,14.7668,14,07/01/2018,06/30/2021
SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,310050,NJ,READM-30-PN-HRRP,625,,1.0157,16.9358,16.6748,107,07/01/2018,06/30/2021
SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,310050,NJ,READM-30-HIP-KNEE-HRRP,N/A,,1.0723,4.5657,4.2577,Too Few to Report,07/01/2018,06/30/2021
SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,310050,NJ,READM-30-HF-HRRP,541,,1.1618,23.4715,20.2028,137,07/01/2018,06/30/2021
SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,310050,NJ,READM-30-COPD-HRRP,132,,0.9131,19.1221,20.9426,18,07/01/2018,06/30/2021
SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,310050,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
SAINT CLARE'S HOSPITAL/ DENVILLE CAMPUS,310050,NJ,READM-30-AMI-HRRP,97,,0.9771,14.6562,15.0000,13,07/01/2018,06/30/2021
OVERLOOK MEDICAL CENTER,310051,NJ,READM-30-PN-HRRP,667,,0.8719,13.4745,15.4540,80,07/01/2018,06/30/2021
OVERLOOK MEDICAL CENTER,310051,NJ,READM-30-HIP-KNEE-HRRP,449,,0.9682,3.6849,3.8059,16,07/01/2018,06/30/2021
OVERLOOK MEDICAL CENTER,310051,NJ,READM-30-HF-HRRP,793,,0.9030,16.9523,18.7724,128,07/01/2018,06/30/2021
OVERLOOK MEDICAL CENTER,310051,NJ,READM-30-COPD-HRRP,150,,0.9974,17.4647,17.5099,26,07/01/2018,06/30/2021
OVERLOOK MEDICAL CENTER,310051,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
OVERLOOK MEDICAL CENTER,310051,NJ,READM-30-AMI-HRRP,185,,0.9807,13.5172,13.7831,24,07/01/2018,06/30/2021
OCEAN MEDICAL CENTER,310052,NJ,READM-30-PN-HRRP,755,,1.0361,18.3198,17.6823,141,07/01/2018,06/30/2021
OCEAN MEDICAL CENTER,310052,NJ,READM-30-HIP-KNEE-HRRP,677,,0.9096,3.9324,4.3234,25,07/01/2018,06/30/2021
OCEAN MEDICAL CENTER,310052,NJ,READM-30-HF-HRRP,970,,1.0167,21.6393,21.2834,211,07/01/2018,06/30/2021
OCEAN MEDICAL CENTER,310052,NJ,READM-30-COPD-HRRP,373,,1.0305,19.7429,19.1588,76,07/01/2018,06/30/2021
OCEAN MEDICAL CENTER,310052,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
OCEAN MEDICAL CENTER,310052,NJ,READM-30-AMI-HRRP,198,,0.9933,15.8369,15.9433,31,07/01/2018,06/30/2021
HACKENSACKUMC MOUNTAINSIDE,310054,NJ,READM-30-PN-HRRP,407,,1.0461,17.8395,17.0536,76,07/01/2018,06/30/2021
HACKENSACKUMC MOUNTAINSIDE,310054,NJ,READM-30-HIP-KNEE-HRRP,N/A,,1.0673,5.1549,4.8300,Too Few to Report,07/01/2018,06/30/2021
HACKENSACKUMC MOUNTAINSIDE,310054,NJ,READM-30-HF-HRRP,453,,1.0282,22.3250,21.7124,103,07/01/2018,06/30/2021
HACKENSACKUMC MOUNTAINSIDE,310054,NJ,READM-30-COPD-HRRP,199,,0.9923,20.4096,20.5673,40,07/01/2018,06/30/2021
HACKENSACKUMC MOUNTAINSIDE,310054,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
HACKENSACKUMC MOUNTAINSIDE,310054,NJ,READM-30-AMI-HRRP,97,,0.9611,15.5739,16.2050,13,07/01/2018,06/30/2021
VIRTUA MOUNT HOLLY HOSPITAL,310057,NJ,READM-30-PN-HRRP,438,,1.0869,17.0795,15.7137,81,07/01/2018,06/30/2021
VIRTUA MOUNT HOLLY HOSPITAL,310057,NJ,READM-30-HIP-KNEE-HRRP,N/A,,1.0057,3.6197,3.5993,Too Few to Report,07/01/2018,06/30/2021
VIRTUA MOUNT HOLLY HOSPITAL,310057,NJ,READM-30-HF-HRRP,617,,1.0278,21.2631,20.6885,133,07/01/2018,06/30/2021
VIRTUA MOUNT HOLLY HOSPITAL,310057,NJ,READM-30-COPD-HRRP,204,,1.0133,20.0759,19.8133,42,07/01/2018,06/30/2021
VIRTUA MOUNT HOLLY HOSPITAL,310057,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
VIRTUA MOUNT HOLLY HOSPITAL,310057,NJ,READM-30-AMI-HRRP,N/A,,0.9680,16.5725,17.1202,Too Few to Report,07/01/2018,06/30/2021
BERGEN NEW BRIDGE MEDICAL CENTER,310058,NJ,READM-30-PN-HRRP,N/A,,1.0106,18.0547,17.8646,Too Few to Report,07/01/2018,06/30/2021
BERGEN NEW BRIDGE MEDICAL CENTER,310058,NJ,READM-30-HIP-KNEE-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
BERGEN NEW BRIDGE MEDICAL CENTER,310058,NJ,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
BERGEN NEW BRIDGE MEDICAL CENTER,310058,NJ,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
BERGEN NEW BRIDGE MEDICAL CENTER,310058,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
BERGEN NEW BRIDGE MEDICAL CENTER,310058,NJ,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ST LUKE'S WARREN HOSPITAL,310060,NJ,READM-30-PN-HRRP,225,,1.0329,17.5898,17.0292,42,07/01/2018,06/30/2021
ST LUKE'S WARREN HOSPITAL,310060,NJ,READM-30-HIP-KNEE-HRRP,N/A,,0.9811,3.5649,3.6334,Too Few to Report,07/01/2018,06/30/2021
ST LUKE'S WARREN HOSPITAL,310060,NJ,READM-30-HF-HRRP,312,,1.1001,23.5818,21.4353,80,07/01/2018,06/30/2021
ST LUKE'S WARREN HOSPITAL,310060,NJ,READM-30-COPD-HRRP,91,,0.9983,18.8250,18.8565,17,07/01/2018,06/30/2021
ST LUKE'S WARREN HOSPITAL,310060,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ST LUKE'S WARREN HOSPITAL,310060,NJ,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
VIRTUA WILLINGBORO HOSPITAL,310061,NJ,READM-30-PN-HRRP,151,,0.9466,16.6181,17.5558,21,07/01/2018,06/30/2021
VIRTUA WILLINGBORO HOSPITAL,310061,NJ,READM-30-HIP-KNEE-HRRP,N/A,,0.9893,3.9355,3.9779,Too Few to Report,07/01/2018,06/30/2021
VIRTUA WILLINGBORO HOSPITAL,310061,NJ,READM-30-HF-HRRP,187,,1.1435,24.0345,21.0181,54,07/01/2018,06/30/2021
VIRTUA WILLINGBORO HOSPITAL,310061,NJ,READM-30-COPD-HRRP,106,,1.0710,21.2271,19.8194,28,07/01/2018,06/30/2021
VIRTUA WILLINGBORO HOSPITAL,310061,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
VIRTUA WILLINGBORO HOSPITAL,310061,NJ,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,310064,NJ,READM-30-PN-HRRP,677,,1.0677,18.6191,17.4391,131,07/01/2018,06/30/2021
ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,310064,NJ,READM-30-HIP-KNEE-HRRP,1254,,0.9012,4.0493,4.4930,49,07/01/2018,06/30/2021
ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,310064,NJ,READM-30-HF-HRRP,955,,1.0529,23.7179,22.5270,230,07/01/2018,06/30/2021
ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,310064,NJ,READM-30-COPD-HRRP,324,,1.0448,20.2333,19.3666,69,07/01/2018,06/30/2021
ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,310064,NJ,READM-30-CABG-HRRP,N/A,,0.8866,10.1319,11.4279,Too Few to Report,07/01/2018,06/30/2021
ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,310064,NJ,READM-30-AMI-HRRP,474,,0.8928,13.4911,15.1103,58,07/01/2018,06/30/2021
INSPIRA MEDICAL CENTER ELMER,310069,NJ,READM-30-PN-HRRP,243,,1.1054,17.1303,15.4967,49,07/01/2018,06/30/2021
INSPIRA MEDICAL CENTER ELMER,310069,NJ,READM-30-HIP-KNEE-HRRP,N/A,,1.0657,4.2141,3.9545,Too Few to Report,07/01/2018,06/30/2021
INSPIRA MEDICAL CENTER ELMER,310069,NJ,READM-30-HF-HRRP,350,,1.1406,22.1021,19.3784,86,07/01/2018,06/30/2021
INSPIRA MEDICAL CENTER ELMER,310069,NJ,READM-30-COPD-HRRP,153,,0.9871,17.6414,17.8714,26,07/01/2018,06/30/2021
INSPIRA MEDICAL CENTER ELMER,310069,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
INSPIRA MEDICAL CENTER ELMER,310069,NJ,READM-30-AMI-HRRP,88,,1.0962,14.9750,13.6613,18,07/01/2018,06/30/2021
SAINT PETER'S UNIVERSITY HOSPITAL,310070,NJ,READM-30-PN-HRRP,324,,1.0857,16.6530,15.3389,60,07/01/2018,06/30/2021
SAINT PETER'S UNIVERSITY HOSPITAL,310070,NJ,READM-30-HIP-KNEE-HRRP,230,,1.2160,4.2182,3.4688,13,07/01/2018,06/30/2021
SAINT PETER'S UNIVERSITY HOSPITAL,310070,NJ,READM-30-HF-HRRP,321,,0.9228,17.7955,19.2838,52,07/01/2018,06/30/2021
SAINT PETER'S UNIVERSITY HOSPITAL,310070,NJ,READM-30-COPD-HRRP,151,,0.9894,18.4309,18.6287,27,07/01/2018,06/30/2021
SAINT PETER'S UNIVERSITY HOSPITAL,310070,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
SAINT PETER'S UNIVERSITY HOSPITAL,310070,NJ,READM-30-AMI-HRRP,62,,1.0598,17.4542,16.4694,14,07/01/2018,06/30/2021
JERSEY SHORE UNIVERSITY MEDICAL CENTER,310073,NJ,READM-30-PN-HRRP,695,,1.0996,19.3920,17.6355,142,07/01/2018,06/30/2021
JERSEY SHORE UNIVERSITY MEDICAL CENTER,310073,NJ,READM-30-HIP-KNEE-HRRP,542,,1.1573,5.0699,4.3808,30,07/01/2018,06/30/2021
JERSEY SHORE UNIVERSITY MEDICAL CENTER,310073,NJ,READM-30-HF-HRRP,1323,,0.9707,21.3888,22.0342,281,07/01/2018,06/30/2021
JERSEY SHORE UNIVERSITY MEDICAL CENTER,310073,NJ,READM-30-COPD-HRRP,275,,1.0132,20.7065,20.4360,58,07/01/2018,06/30/2021
JERSEY SHORE UNIVERSITY MEDICAL CENTER,310073,NJ,READM-30-CABG-HRRP,378,,0.9240,10.7844,11.6709,39,07/01/2018,06/30/2021
JERSEY SHORE UNIVERSITY MEDICAL CENTER,310073,NJ,READM-30-AMI-HRRP,777,,1.1028,17.3395,15.7235,140,07/01/2018,06/30/2021
JERSEY CITY MEDICAL CENTER,310074,NJ,READM-30-PN-HRRP,148,,0.9328,15.6750,16.8050,18,07/01/2018,06/30/2021
JERSEY CITY MEDICAL CENTER,310074,NJ,READM-30-HIP-KNEE-HRRP,N/A,,1.1546,4.9376,4.2764,Too Few to Report,07/01/2018,06/30/2021
JERSEY CITY MEDICAL CENTER,310074,NJ,READM-30-HF-HRRP,202,,1.0380,22.5146,21.6895,48,07/01/2018,06/30/2021
JERSEY CITY MEDICAL CENTER,310074,NJ,READM-30-COPD-HRRP,N/A,,0.9493,17.5559,18.4931,Too Few to Report,07/01/2018,06/30/2021
JERSEY CITY MEDICAL CENTER,310074,NJ,READM-30-CABG-HRRP,N/A,,0.9339,11.8416,12.6794,Too Few to Report,07/01/2018,06/30/2021
JERSEY CITY MEDICAL CENTER,310074,NJ,READM-30-AMI-HRRP,102,,1.0066,14.3648,14.2700,15,07/01/2018,06/30/2021
MONMOUTH MEDICAL CENTER,310075,NJ,READM-30-PN-HRRP,252,,1.0547,17.0822,16.1956,47,07/01/2018,06/30/2021
MONMOUTH MEDICAL CENTER,310075,NJ,READM-30-HIP-KNEE-HRRP,318,,1.0509,4.4467,4.2312,15,07/01/2018,06/30/2021
MONMOUTH MEDICAL CENTER,310075,NJ,READM-30-HF-HRRP,291,,0.9310,19.1194,20.5375,51,07/01/2018,06/30/2021
MONMOUTH MEDICAL CENTER,310075,NJ,READM-30-COPD-HRRP,110,,1.0046,21.4776,21.3800,24,07/01/2018,06/30/2021
MONMOUTH MEDICAL CENTER,310075,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
MONMOUTH MEDICAL CENTER,310075,NJ,READM-30-AMI-HRRP,N/A,,1.0088,15.0716,14.9400,Too Few to Report,07/01/2018,06/30/2021
SAINT BARNABAS MEDICAL CENTER,310076,NJ,READM-30-PN-HRRP,513,,1.0325,17.0775,16.5402,90,07/01/2018,06/30/2021
SAINT BARNABAS MEDICAL CENTER,310076,NJ,READM-30-HIP-KNEE-HRRP,N/A,,0.9527,4.0281,4.2280,Too Few to Report,07/01/2018,06/30/2021
SAINT BARNABAS MEDICAL CENTER,310076,NJ,READM-30-HF-HRRP,679,,1.0321,21.0497,20.3952,145,07/01/2018,06/30/2021
SAINT BARNABAS MEDICAL CENTER,310076,NJ,READM-30-COPD-HRRP,184,,1.0104,19.1233,18.9265,36,07/01/2018,06/30/2021
SAINT BARNABAS MEDICAL CENTER,310076,NJ,READM-30-CABG-HRRP,89,,1.0066,12.1939,12.1145,11,07/01/2018,06/30/2021
SAINT BARNABAS MEDICAL CENTER,310076,NJ,READM-30-AMI-HRRP,202,,1.0192,16.3218,16.0139,34,07/01/2018,06/30/2021
EAST ORANGE GENERAL HOSPITAL,310083,NJ,READM-30-PN-HRRP,124,,1.0797,21.7300,20.1266,33,07/01/2018,06/30/2021
EAST ORANGE GENERAL HOSPITAL,310083,NJ,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
EAST ORANGE GENERAL HOSPITAL,310083,NJ,READM-30-HF-HRRP,103,,1.0732,23.5208,21.9166,29,07/01/2018,06/30/2021
EAST ORANGE GENERAL HOSPITAL,310083,NJ,READM-30-COPD-HRRP,74,,1.0447,22.2355,21.2849,20,07/01/2018,06/30/2021
EAST ORANGE GENERAL HOSPITAL,310083,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
EAST ORANGE GENERAL HOSPITAL,310083,NJ,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,310084,NJ,READM-30-PN-HRRP,356,,1.0688,18.5293,17.3369,71,07/01/2018,06/30/2021
MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,310084,NJ,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,310084,NJ,READM-30-HF-HRRP,224,,1.1072,22.8716,20.6574,58,07/01/2018,06/30/2021
MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,310084,NJ,READM-30-COPD-HRRP,91,,1.0296,20.5270,19.9366,21,07/01/2018,06/30/2021
MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,310084,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,310084,NJ,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
JEFFERSON STRATFORD HOSPITAL,310086,NJ,READM-30-PN-HRRP,676,,1.0071,16.7865,16.6689,114,07/01/2018,06/30/2021
JEFFERSON STRATFORD HOSPITAL,310086,NJ,READM-30-HIP-KNEE-HRRP,452,,1.0517,4.6758,4.4460,22,07/01/2018,06/30/2021
JEFFERSON STRATFORD HOSPITAL,310086,NJ,READM-30-HF-HRRP,1069,,1.1728,24.5291,20.9157,273,07/01/2018,06/30/2021
JEFFERSON STRATFORD HOSPITAL,310086,NJ,READM-30-COPD-HRRP,453,,1.0704,20.4388,19.0944,98,07/01/2018,06/30/2021
JEFFERSON STRATFORD HOSPITAL,310086,NJ,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
JEFFERSON STRATFORD HOSPITAL,310086,NJ,READM-30-AMI-HRRP,140,,1.0043,16.9774,16.9052,24,07/01/2018,06/30/2021
SALEM MEDICAL CENTER,310091,NJ,READM-30-PN-HRRP,136,,1.0491,17.9484,17.1085,28,07/01/2018,06/30/2021
SALEM MEDICAL CENTER,310091,NJ,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2018,06/30/2021
